inches,ram,weight,is_ips,is_touchscreen,res_width,res_height,storage_gb,has_ssd,has_hdd,ppi,company_Apple,company_Asus,company_Chuwi,company_Dell,company_Fujitsu,company_Google,company_Hp,company_Huawei,company_Lenovo,company_Lg,company_Mediacom,company_Microsoft,company_Msi,company_Razer,company_Samsung,company_Toshiba,company_Vero,company_Xiaomi,typename_Gaming,typename_Netbook,typename_Notebook,typename_Ultrabook,typename_Workstation,opsys_Chrome Os,opsys_Linux,opsys_Mac Os X,opsys_Macos,opsys_No Os,opsys_Windows 10,opsys_Windows 10 S,opsys_Windows 7
13.3,8.0,1.37,1,0,2560,1600,128.0,1,0,226.98300468106115,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
13.3,8.0,1.34,0,0,1440,900,128.0,0,0,127.67794013309688,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
15.6,8.0,1.86,0,0,1920,1080,256.0,1,0,141.21199808219862,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
15.4,16.0,1.83,1,0,2880,1800,512.0,1,0,220.53462386625827,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
13.3,8.0,1.37,1,0,2560,1600,256.0,1,0,226.98300468106115,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
15.6,4.0,2.1,0,0,1366,768,500.0,0,1,100.45466986113651,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
15.4,16.0,2.04,1,0,2880,1800,256.0,0,0,220.53462386625827,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
13.3,8.0,1.34,0,0,1440,900,256.0,0,0,127.67794013309688,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
14.0,16.0,1.3,0,0,1920,1080,512.0,1,0,157.3505121487356,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
14.0,8.0,1.6,1,0,1920,1080,256.0,1,0,157.3505121487356,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
15.6,4.0,1.86,0,0,1366,768,500.0,0,1,100.45466986113651,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
15.6,4.0,1.86,0,0,1920,1080,500.0,0,1,141.21199808219862,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
15.4,16.0,1.83,1,0,2880,1800,256.0,1,0,220.53462386625827,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
15.6,4.0,2.2,0,0,1920,1080,256.0,1,0,141.21199808219862,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
12.0,8.0,0.92,1,0,2304,1440,256.0,1,0,226.41554716935852,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
13.3,8.0,1.37,1,0,2560,1600,256.0,1,0,226.98300468106115,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
15.6,8.0,2.2,0,0,1920,1080,256.0,1,0,141.21199808219862,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
15.4,16.0,1.83,1,0,2880,1800,512.0,1,0,220.53462386625827,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
15.6,8.0,2.2,0,0,1920,1080,1024.0,0,1,141.21199808219862,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
13.3,8.0,1.22,1,1,1920,1080,128.0,1,0,165.6321180513006,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
15.6,8.0,2.5,1,0,1920,1080,1152.0,1,1,141.21199808219862,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
15.6,4.0,1.86,0,0,1366,768,500.0,0,1,100.45466986113651,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
13.3,8.0,1.62,0,1,1920,1080,256.0,1,0,165.6321180513006,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
15.6,8.0,1.91,0,0,1920,1080,256.0,1,0,141.21199808219862,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
15.6,4.0,2.3,0,0,1366,768,1024.0,0,1,100.45466986113651,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
13.3,8.0,1.35,0,0,1440,900,128.0,0,0,127.67794013309688,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
15.6,8.0,2.2,0,0,1920,1080,256.0,1,0,141.21199808219862,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
15.6,8.0,1.88,0,0,1920,1080,512.0,1,0,141.21199808219862,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
17.3,8.0,2.5,0,0,1920,1080,1024.0,0,1,127.33567457123111,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
15.6,4.0,1.89,0,0,1920,1080,64.0,0,0,141.21199808219862,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
14.0,2.0,1.65,0,0,1366,768,32.0,0,0,111.93520355955211,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
17.3,4.0,2.71,0,0,1920,1080,500.0,0,1,127.33567457123111,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
13.3,16.0,1.2,0,1,3200,1800,512.0,1,0,276.053530085501,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
13.3,8.0,1.35,0,0,1440,900,256.0,0,0,127.67794013309688,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
14.0,4.0,1.44,0,0,1366,768,64.0,0,0,111.93520355955211,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
15.6,4.0,2.1,0,0,1366,768,1024.0,0,1,100.45466986113651,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
17.3,8.0,2.8,1,0,1920,1080,1152.0,1,1,127.33567457123111,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
15.6,4.0,1.86,0,0,1366,768,1024.0,0,1,100.45466986113651,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
15.6,8.0,2.1,0,0,1920,1080,256.0,1,0,141.21199808219862,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
15.6,4.0,2.0,0,0,1920,1080,1024.0,0,1,141.21199808219862,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
15.6,16.0,2.65,1,0,1920,1080,1280.0,1,1,141.21199808219862,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
15.6,8.0,2.3,0,0,1366,768,1024.0,0,1,100.45466986113651,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
15.6,4.0,2.2,1,0,1920,1080,256.0,1,0,141.21199808219862,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
17.3,12.0,2.77,0,1,1920,1080,1024.0,0,1,127.33567457123111,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
13.3,8.0,1.37,1,0,2560,1600,256.0,1,0,226.98300468106115,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
17.3,8.0,3.2,0,0,1920,1080,1280.0,1,1,127.33567457123111,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
15.6,4.0,2.3,0,0,1920,1080,256.0,1,0,141.21199808219862,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
17.3,4.0,2.8,0,0,1366,768,1024.0,0,1,90.58340172449303,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
15.6,8.0,2.2,1,0,1920,1080,256.0,1,0,141.21199808219862,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
15.6,4.0,1.86,0,0,1920,1080,256.0,1,0,141.21199808219862,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
